title,location,desc,price,bath,bed,toilet,area
4 bedroom semi-detached duplex for rent,"By Marwa Traffic Light, Lekki Phase 1, Lekki, Lagos","*to let at maruwa lekkiright*4 bedroom semi detached duplex with bq,*rent:* #7m*agency:* 10%*legal:* 10%*causion:*...",7000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
Office space for rent,"Oladimeji Ali, Lekki Phase 1, Lekki, Lagos","A 4 bedroom apartment fit for commercial use on oladimeji ali, lekki phase 1.rent: ₦6.5magency: 10%legal: 10%self servicedno caution feefor further enquiries and inspection kindly send a dm to 090950999...",6500000,4 Bathrooms,,4 Toilets,lekki
Self contained (single rooms) for rent,"Off Adebayo Doherty, Lekki Phase 1, Lekki, Lagos","There is a one room self contained with separate kitchen off adebayo doherty street lekki phase one n900k, service charge n30...",900000,,,,lekki
4 bedroom detached duplex for rent,"Chevron Alternative, Lekki Phase 2, Lekki, Lagos","To let4 bedroom detached house with a room bqfeatures:- all rooms ensuite- pop ceilings- fully fitted kitchen- secured estate- stamp concrete floors- spacious compound- family lounge- balcony- water heater- sizeable rooms- bq- walk-in shower- 24hrs security-24hrs lightlocation: chevron, lekkirent: 6.5magency:10%legal: 10%caution: 5%service charge:not yet deci...",6500000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
2 bedroom flat / apartment for rent,"Oniru, Victoria Island (VI), Lagos","A very spacious 2 bedrooms apartment available for rent !!!location: oniru, victoria island, lagosprice: 2m per annumother charges :agency 10%legal 10%refundable caution deposit 200kfeatures- all rooms ensuite- 24 hours security- fully fitted kitchen- stamp concrete floor- pop ceiling- water heaters- jacuzzi-------------------------------------------------08164276682[email protected]--#lekkirealtor #lekkilagos #luxurylife #affordablepropertiesinlekki #affordablepropertiesinlagos #lagos #realestate #realestateagent #2020 #nigeriaproperties #propertyhub #nigeria #lagos life #lagoslifestyle #dope #luxury #luxuryhomes #africa #africanhomes #africanproperties #nigeriarealestate #dubai #dubailifestyle #design #homedesigns #nigerianrealestate #realestatelagos #realestatenige...",2000000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
Office space for rent,"Lekki Phase 1, Lekki, Lagos","Well sculpted office space - 1st & 2nd flooroffice space for rent, 2nd floorlocation: lekki phase 1amount 35k per sqms78sqms in the 2nd floor178 sqms on the 1st floorfeaturessecuritygender based toiletwatergatedparking sp...",35000,,,,lekki
3 bedroom detached duplex for rent,"Tulip Haven Estate Chevron Alternative, Lekki, Lagos","Luxurious 3 bedroom duplexfeatures:-all rooms ensuit- dining area- 24 hours security- fully fitted kitchen- stamp concrete floor- water heater- jacuzzilocation: chevron alternative, lekki lagosrent: n3.5million per annumagency: 10%legal: 10%caution: n2...",3500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
5 bedroom detached duplex for rent,"Tulip Haven Estate Chevron Alternative, Lekki, Lagos","5 bedrooms fully detach duplex currently available for rent at chevronfeatures:-all rooms ensuite- dining area- 24 hours security- fully fitted kitchen- stamp concrete floor-a room and parlor bq- water heater- jacuzzilocation: chevron alternative, lekki, lagosrent: n5 million per annumself serviceagency: 10%legal: 10%caution: n3...",5000000,5 Bathrooms,5 Bedrooms,6 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Scheme 2, Ajah, Lagos",,2000000,,3 Bedrooms,4 Toilets,lekki
3 bedroom flat / apartment for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",2 units of serviced spacious 3 bedroom ensuite apartment with a detached bq for office use located in lekki phase 1rent: 4.5mservice charge: 500kdiesel deposit: 50k mont...,4500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
2 bedroom semi-detached duplex for rent,"Lekki County Home, Lekki, Lagos","2bedroom duplex with a bq for rentprice: 3,500,000location :lekki county home, lekki, lagosfeatures:-all rooms ensuite-fitted kitchen-jacuzzi-pop ceiling-store-inbuilt speakers-intercoms-walk-in closet-water heater-heat extrac...",3500000,3 Bathrooms,2 Bedrooms,4 Toilets,lekki
2 bedroom flat / apartment for rent,"Lekki County Home, Lekki, Lagos","2bedroom flat for rentprice: ₦2,200,000location:lekk county home, lekki, lagosfeatures:-all rooms ensuite-fitted kitchen-jacuzzi-pop ceiling-store-intercoms-walk-in closet-water heater-heat extrac...",2200000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Scheme 2, Ajah, Lagos",,1200000,4 Bathrooms,3 Bedrooms,4 Toilets,lekki
Shop for rent,"Orchid Road, Ikota, Lekki, Lagos","Brand new commercial shop space for let in orchid road ikota lekki lagos.*features!!! ground [email protected] n230,000 per square meter*shop size, amount per sqm, price per shop , service charge*137 230,000,00 31,510,000,00 274,000,00*17 230,000,00 3,910,000,00 34,000,00*21 230,000,00 4,830,000,00 42,000,00*67 230,000,00 15,410,000,00 134,000,00*[email protected] perkwfirst floor @ n200,000 per square meter*shop size, amount per sqm, price per shop , service charge*28 200,000,00 5,600,000,00 56,000,00*30 200,000,00 6,000,000,00 60,000,00*32 200,000,00 6,400,000,00 64,000,00*44 200,000,00 8,800,000,00 88,000,00*17 200,000,00 3,400,000,00 34,000,00*21 200,000,00 4,200,000,00 42,000,00*[email protected] perkwsecond floor @ n190,000 per square meter*shop size, amount per sqm, price per shop , service charge*28 190,000,00 5,320,000,00 56,000,00*30 190,000,00 5,700,000,00 60,000,00*32 190,000,00 6,080,000,00 64,000,00*44 190,000,00 8,360,000,00 88,000,00*17 190,000,00 3,230,000,00 34,000,00*21 190,000,00 3,990,000,00 42,000.00*for enquirers and inspection please call 08181849377 09098586...",3400000,,,,lekki
3 bedroom flat / apartment for rent,"Meadow Hall Way, Ikate, Lekki, Lagos","A well improved 3 bedroom serviced apartment on the first floor in a fully serviced estate with 24hrs power at meadow hall way, ikate, lekki.rent-n3.5m per annum, service charge-n360k per annum (payable quarterly),agency-10%,legal-10% andcaution deposit-n2...",3500000,0 Bathrooms,3 Bedrooms,4 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos",To letvery affordable spacious 3bedroom flatinside lekki phase 1the cheapest dealrent: 3. 5magency :350kagreement : 350kcaution :200service charge: 200call/whapps 07034194181k...,3500000,,3 Bedrooms,,lekki
Self contained (single rooms) for rent,"Osapa London, Osapa, Lekki, Osapa, Lekki, Lagos","Beautifully built tastefully finished serviced 4 bedroom terrace duplex shared apartment in a quiet and lovely estate at osapa london, lekki, lagos.rent : 800kagency: 10%legal:10%caution:50kservice charge: # 400k per annumtotal package: #1,360,000service charge includegenerator and diesel for a yearsupply of clean and treated water, security services, cleaning of common area, evacuation of septic tank, refuse disposal, maintenance of estate generator and general facilities.generator comes upduring the week 7pm to 9amweekend and holidays additional 2pm to 4pmnepa light will be discussed by occupants on a monthly bas...",750000,2 Bathrooms,,3 Toilets,lekki
Self contained (single rooms) for rent,"Ikate, Lekki, Lagos","Brand new studio apartment for rent!(this executive apartment comes with an inverter and a brand new lg air condition, water heater, cooker with oven and heat extrator).lekki ikate, lagosrent: 1.6mservice charge: 450k (45k diesel deposit)weekday generator time: 7pm - 7amweekend: 7pm to 7amn& 12pm -3pmlegal fee: 10%agency: ...",1600000,,,,lekki
3 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","Spacious and self serviced 3 bedroom flat at lekki phase 1featuresvery spacioustwo extra mini roomsself servicedgood road networkeasily accessiblerent #3,500,000agency #350,000legal fee #350,000refundable caution deposit #200,000service charge #200,000 (covers security guards salary, cleaning of common areas, water, waste dispos...",3500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
1 bedroom mini flat for rent,"Idado Estate, Lekki, Lagos","Spacious massive minflat apartment*rent1.5m*agent 10%*agreement 10%*caution 200k*service charge 300k( water supply for 1year, maintenance, estate security and gate security, compond cleaning, and lawma)*prepaid meter*come with your generator*location idado estates lekkicall: 08030429586/09073330...",1500000,,,,lekki
5 bedroom detached duplex for rent,"Kusenla Road, Ikate, Lekki, Lagos","Newly built & superbly finished 5bedroom fully detached duplexes + bqs [ 6 units in a mini gated estate ] with separate compound,- each compound of each duplex can contain 4 cars comfortably.- suitable for both commercial & residential purposes .- prime business location, good road, accessible to lekki phase 1. etc.self service.rent: 8m per annum.agency: 10%legal: ...",8000000,5 Bathrooms,5 Bedrooms,6 Toilets,lekki
4 bedroom terraced duplex for rent,"Ologolo, Lekki, Lagos","Contemporary 4bedroom terrace for rentlocation:ologolo, lekki lagosrent 4.5million per annumother chargesagency 10%legal 10%caution fee 300kserviced charge 40k per monthfeatures- all rooms ensuite- pop ceiling- water heater- interlocked floor- fitted kitchen- serviced. ---------------------------------------------------------------------...",4500000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
5 bedroom detached duplex for rent,"Osapa, Lekki, Lagos","Fcontemporary spacious 5 bedroom detached house for rentlocation: osapa london, lekki lagosrent: 8.5m/2 yearsagency fee: 10%legal fee: 10%caution fee:5%features:newcontemporary designall rooms ensuite spaciousfitted kitchendinning sectionbqlaundry roomwashing machinebluetooth speakerpop ceilingstamp concrete floorfamily loungejacuzziwalk-in showerkitchen storecar portcarpark space (4 ca...",8500000,5 Bathrooms,5 Bedrooms,6 Toilets,lekki
2 bedroom flat / apartment for rent,"Ologolo, Lekki, Lagos","To leta 2 bedroom apartment location: ologolo,lekki lagosannual rent for a year #2.5m.service charge #700kagency 10%legal 10%caution fee #3...",2500000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","Property description3 bedroom flat at lekki phase 1.rent: 4mall rooms en-suiteservice charge: 850knote: the service charge covers - security, cleaner, gardner, waste disposal, etc.diesel charges is contributed by tenant month...",4000000,3 Bathrooms,3 Bedrooms,5 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","Lovely fully serviced 3 bedroom flat located at lekki phase1 for rent.features- 24hours security- 24hours light- swimming pool- gym- roof top terrace- spacious living room and bedrooms- a room bq- portable water- designated parking space, etc.rent price 4mservice charge 2mpower is pay as you gocontact: 08074577210 or 08057989...",4000000,3 Bathrooms,3 Bedrooms,5 Toilets,lekki
4 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos","Luxurious fully serviced 4 bedroom terrace duplex with a room bq for rent.features:- 24 hours power supply- serene and secured estate- fitted with air conditioning units- fully fitted kitchen- spacious living room and bedrooms- family lounge upstairs- fitted with water heaters- swimming pool- gym- kids play ground- mini mart- proximity to major places- portable water- designated parking, etclocation: lekki phase 1rent - 8 million nairasc - 1.5magency 10%: 800klegal 5%: 400kcaution: 300kcontact: 08074577210 or 08057989...",8000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
5 bedroom detached duplex for rent,"Chevron, Lekki, Lagos","​ - ​️️new listing alert!5 bedroom fully detached duplex with bq in a gated and secured for rentfeatures-spacious compound,- family lounge,- stamped concrete floor,- dining area,- all rooms en-suite,- walk in closet,- fully fitted kitchen,- spacious master bedroom,- jacuzzi,- water heaters,-green area- water treatmentlocated at chevron lekkirent: 6mcaution: 300k refundablefor more details, inspection and purchase kindly call/whatsapp 08092302...",6000000,6 Bathrooms,5 Bedrooms,6 Toilets,lekki
Self contained (single rooms) for rent,"Ikate Elegushi, Lekki, Lagos","Luxury studio apartment for rent in a safe and secured estate with tarred road in ikate elegushi , lekki.features:spacious roompopwardrobebeautiful lightscozy environmenttop securitykitchen cabinetscookerair extractorjacuzzigold colored tileswaterelectricityparking spaceetcrent per annum : n1.3mtotal package : n2.2moptional extra servicesrent with 1kva inverter : n1.4m per annumtotal package : n2.3mrent with 1kva inverter and air conditioner: n1.6m per annumtotal package : n2.5mnote :the total package for each includes :10% agency fee , 10% legal fee , n100,000 caution fee , diesel money , security and cleaninggenerator usage hours :during the week : 5pm to 7am dailyweekend : 5pm to 7am and 12pm to 3pmfor inspection/payment : call 08079031...",1300000,,,,lekki
3 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","A serviced 3-bedroom apartment at lekki garden by nike art gallery, ikate, lekki, lagos.rent: 3,000,000service charge: 375 000 (quarterly)refundable caution: n200,000agency 10%= n300,000legal 10% n300,000total package = n3.8 millionexcluding service charge to be paid directly to facility mgt compa...",3000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
Self contained (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",To let a roomselfcontain with seperate kitchen in lekki phase1rent :#900kserviced charge #3...,900000,,,,lekki
3 bedroom semi-detached duplex for rent,"Lekki Phase 1, Lekki, Lagos",A 3 bedroom semi-detached duplex with bq (with it's own spacious compound) located in lekki phase 1.suitable for residential or commercial use.rent-n5m per annum or n4.5m per annum for 2years paym...,5000000,4 Bathrooms,3 Bedrooms,3 Toilets,lekki
3 bedroom house for rent,"By Spg Road, Agungi, Lekki, Lagos","A newly built very spacious 3 bedroom flat ensuite within a spacious compound, p.o.p ceilings, fitted wardrobes, good kitchen etc in a secured and serene area by spg road, agungi, lekki, lagos.rent: # 3 million naira per annum. negotiable.haf...",3000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
3 bedroom flat / apartment for rent,"Close To Central Mosque, Lekki Phase 1, Lekki, Lagos",Well maintained and very spacious ground floor 3bedroom apartment to let at lekki phase 1 close to lekki central mosque.rent ₦3.5m per annum.tenant brings gencommunal service charge ₦300kcall:08030429586/09073330...,3500000,3 Bathrooms,3 Bedrooms,3 Toilets,lekki
2 bedroom flat / apartment for rent,"Lekki Phase 1, Lekki, Lagos","Rent 3.2m , sc 700k, caution 200k, legal 10%, agency 10%fully furnished 2 bedroom flat for rent at pwv gardens 1, off freedom way, lekki phase 1. with tv in every room and living room, 24hr light. swimming pool & lawn tennis cou...",3200000,3 Bathrooms,2 Bedrooms,3 Toilets,lekki
3 bedroom flat / apartment for rent,"Off Kusenla Road, Ikate Elegushi, Lekki, Lagos","Hot letting in ikateservice 3-bedroom flatlocation- lekki garden ikate, lekki, lagosrent: 3,000,000service charge: 375 000 (quarterly)refundable caution: n200,000agency 10%= n300,000legal 10% n300,000total package = n3.8m excluding service charge to be paid directly to facility mgt company24 hrs li...",3000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
4 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos","* 4bedroom terrace for rent!!!!*location: lekki phase 1 lagosrent 9m,per annumother charges- agency 10%- legel 10%- caution 500k- total package: 12.3mservice charge 1m( diseal inclusive)for more informationcall: 09064653...",9000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
Self contained (single rooms) for rent,"Osapa London, Osapa, Lekki, Osapa, Lekki, Lagos","Beautifully built tastefully finished serviced 4 bedroom terrace duplex shared apartment in a quiet and lovely estate at osapa london, lekki, lagos.rent : 800kagency: 10%legal:10%caution:50kservice charge: # 400k per annumtotal package: #1,360,000service charge includegenerator and diesel for a yearsupply of clean and treated water, security services, cleaning of common area, evacuation of septic tank, refuse disposal, maintenance of estate generator and general facilities.generator comes upduring the week 7pm to 9amweekend and holidays additional 2pm to 4pmnepa light will be discussed by occupants on a monthly bas...",750000,2 Bathrooms,,3 Toilets,lekki
3 bedroom terraced duplex for rent,"Lekki Phase 1, Lekki, Lagos",Newly renovated 3 bedroom maisonett for let in lekki phase 1features!!!spacious living roomall rooms en suiteneatly maintained kitchen cabinet24 hours securityprice n5m per annumfor enquirers and inspection please call 08181849377 09098586...,5000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
4 bedroom semi-detached duplex for rent,"Lekki Phase 1, Lekki, Lagos","*4bedroom semo detached with bq for rent!!!!*location: lekki phase 1, lagosrent 9m,per annum( min 2yearsother charges- agency 10%- legel 10%house features- treated water- fitted kitchen- store- bath tub- spacious compound ( 4 cars)- self compound- good environment & morefor more informationcall: 09064653...",9000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
4 bedroom terraced duplex for rent,"Lekki Garden Phase 3, Behind Lagos Business School,, Alasia, Ajah, Lagos","Hot [email protected] garden phase3 estate..4bed rooms terrace duplex.rent#2.5magent, legal 10% each caution #200k22hours light...",2500000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
2 bedroom flat / apartment for rent,"Ologolo/agungi, Lekki, Lagos",Nice and clean 2bed flat now available for rent at lekki environologolo agungi...with 3 toiletsrent..2mlegal...200kagency...200kcaution..100ktotal..2...,2000000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
3 bedroom flat / apartment for rent,"Ikate Elegushi, Lekki, Lagos","Service 3 bedroom flat at lekki garden by nike art gallery,ikaterent: 3,000,000service charge: 375 000 (quarterly)refundable caution: n200,000agency 10%= n300,000legal 10% n300,000total = n3.8m excluding service charge to be paid directly to facility mgt comp...",3000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
Self contained (single rooms) for rent,"Road 7 Lekki County Home, Lekki, Lagos","Luxury rooms in a shared apartment duplex ( sharing only kitchen)yearly rentroom 1(downstairs): 900kroom 2 (upstairs): 950kroom 3 (upstairs): 1mroom 4 (masters bedroom): 1.4mroom 5 (extremely spacious parlor space studio with private kitchen):1.5magency, legal, & caution fee: 10% eachservices charge: 185kinquiries inspection ii purchase ii call/whatsapp +2347031264489email: [email protected]website: https://gudnessreality.com.ng/instagram: www.instagram.com/gudness_reality_ventures/facebook: @gudnessrealityventurelinkedin: linkedin.com/in/okpe-godwin-688142...",1500000,5 Bathrooms,,,lekki
3 bedroom flat / apartment for rent,"Lekki Ikate Right, Lekki, Lagos","*letting*service 3-bedroom flat at lekki garden by nike art gallery, ikate, lekki, lagosrent: 3,000,000service charge: 375 000 (quarterly)refundable caution: n200,000agency 10%= n300,000legal 10% n300,000total package = n3.8m excluding service charge to be paid directly to facility mgt comp...",3000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
5 bedroom detached duplex for rent,"Carlton Gate Estate, Chevron Drive, Lekki, Lagos","Well spacious 5bed fully detached duplex in a gated and serviced estate along chevron drive lekki.it features includes,spacious compound,spacious sitting and living rooms,all rooms en-suite,it has a specious family lounge,well fitted and equipped kitchen,it has a two rooms detached bq,it is in a gated estate with 24hrs security,it is serviced with 24hrs electricity supply..rent ... 6m per annum and for 5yrs long lease,agency ... 10%legal ... 5%caution to be discussedelectricity is pay as us u...",6000000,5 Bathrooms,5 Bedrooms,6 Toilets,lekki
3 bedroom detached duplex for rent,"Agungi/idado, Off Lekki Express Way, Agungi, Lekki, Lagos",Service 3bedroom flat with fitted kitchen and bq at agungi/idado.rent = n3.5msc = n550kagency = 10%legal = 10%light = 7pm to 7am week day's1pm to 5pm week...,3500000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
4 bedroom detached duplex for rent,"Olawale Idris Close, Lekki Phase 1, Lekki, Lagos","The property available is an attached 4 bedroom duplex well done with modern and standard finishing and fittings, also with an independent access point. the service charge does not cover power provision.this commercial development was completed in 2017 and has been able to achieve its intended status of simple, modern and effective. located a street behind the highly sort after admiralty way in lekki phase 1 on olawale idris close, it enjoys unexpected serenity, security and is truly the ideal location for you business. it is within a compound with similar units, all with their independent access points into the building. it currently serves as a commercial premises with corporate tenants. cctv cameras have been installed in the compound areas along with a with a water treatment plant.rental payment of two years or more in advance attracts a discount. contact brokerfield now to schedule and inspecti...",7000000,5 Bathrooms,4 Bedrooms,5 Toilets,lekki
2 bedroom terraced duplex for rent,"Lekki County Homes, Lekki, Lagos",,2500000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
5 bedroom semi-detached duplex for rent,"Lekki Phase 1, Lekki, Lagos",Brandnew 5 bedroom semi detached duplex available at lekki right lekki phase1 lagos...rent5bedroom semi detached in lekki rightrent 4.5agency 10%legal 10%caution 2...,4500000,4 Bathrooms,5 Bedrooms,5 Toilets,lekki
3 bedroom flat / apartment for rent,"Megamound Estate Lekki County, Lekki, Lagos",Hot lettingbrand new 3bedroom flat for rent in lekki county homes megamound estate.rent is 3m agent and agreement 10percent caution 300k services charge 350k.fully serviced comes with air conditions.coperate client required.*i...,3000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
Self contained (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos","*direct lekki phase 1 letting *a nice self con apartment in a quiet location, spacious room with big wardrobekitchenrent 850ksc 300k bring your genlegal 10%agency ...",850000,,,,lekki
2 bedroom flat / apartment for rent,"Oniru, Lekki Right, Lekki Phase 1, Lekki, Lagos","Very spacious n luxurious newly built cheapest 2 bedflat is 2. 5m a year rentthis spacious new 2 bed flat at lekki right has spacious cctv,swimming pool etcagents please keep off..serviced charged is 1. 5m and this is for maintenance of d swimming pool,gym ,lawma, ...",2500000,2 Bathrooms,2 Bedrooms,2 Toilets,lekki
1 bedroom mini flat for rent,"Lekki Palm City, Ajah, Lagos",Fantastic 1bedroom flat with excellent facilities inside an estatevery secure estatesgood access roadvery decent and organizebig palourpop finishingbig rooms with wardrobesall roomsensuitet with water heatervery big finish kitchen with lovely cabinet and storegood water good lightenough packing spacegood 24 hours securitygood servicefree cooking gas for a y...,1200000,,,2 Toilets,lekki
4 bedroom terraced duplex for rent,"Victoria Crest Estate, Orchid Road, Lekki, Lagos","4 bedroom terrace for *rent**location:* victoria crest estate orchid hotel road, lekki 2nd toll gate.*rent cost:* n3 million*agency:* 10%*legal:* 10%*caution:* n100,000*offers:*2 living roomsall 4 bedrooms en suite 1 guest toilet.3 car park space per unit.24/7 power supply.central water treatment plant.uniformed 24 hours security.cc...",3000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
4 bedroom detached duplex for rent,"Western Estate, Ikota, Lekki, Lagos",Newly build 4 bedroom detached duplex for rent in western estate ikota lekkifeatures;-brand new-modern architecture-furnished with furniture and electronics-spacious sitting room- fitted kitchen-well ventilated rooms-pop ceiling-all rooms en suite-good road network-secure environmentprice n4mfor enquirers and inspection please call 08181849377 09098586...,4000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
2 bedroom flat / apartment for rent,"Off Lekki County Road Ikota Villa, Lekki, Lagos",,2500000,3 Bathrooms,2 Bedrooms,3 Toilets,lekki
4 bedroom semi-detached duplex for rent,"Lekki Palm City, Ajah, Lagos",Rent 3.5millionagency 10%legal 10%caustion 3...,3500000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
4 bedroom semi-detached duplex for rent,"Diamond Estate, Monastery Road By Shoprite Sangotedo, Ajah, Lagos","4 bedroom semi-detached duplex with bq available for rent in diamond estate, monastery road, sangotedo, lekki, lagos.diamond estate is located off monastery (shoprite) road sangotedo, and is reasonably walking distance to the novare shoprite mall.infrastructure & facilities in diamond estate include:- secure gated estate with armed security- reliable supply of clean treated water- a serene and well-landscaped environment with flowers planted in front of houses.- recreational parks- sport facilities------------------------------tag someone who needs to see this ️(we have other properties available for sell, kindly go through our page)-------------------------------------------for you information and inspection contact:+234 902 356 5204[email protected]--#wallingtonrealtiesltd#lekkirealtor #lekkilagos #luxurylife#affordablepropertiesinlekki#affordablepropertiesinlagos #lagos #realestate#realestateagent #2021 #nigeriaproperties#propertyhub #nigeria #lagoslife #lagoslifestyle #dope#luxury #luxuryhomes #africa #africanhomes#africanproperties #nigeriarealestate #dubai#dubailifestyle #design #homedesigns#nigerianrealestate #realestatelagos #realestatenige...",3000000,4 Bathrooms,4 Bedrooms,5 Toilets,lekki
1 bedroom mini flat for rent,"Chevron Drive, Lekki, Lagos","A luxury miniflat in a serviced estate at chevron drive, lekki.rent n2mservice charge n310kcaution fee n100kagency 10% 200klegal 10% 2...",2000000,,,2 Toilets,lekki
1 bedroom mini flat for rent,"Chevron Drive, Lekki, Lagos",To letfully serviced miniflat at chevron drive lekki lagosrent-1.5magency 10%legal 10%service charge 3...,1500000,,,2 Toilets,lekki
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","*to let at ikate, lekki*service 2bedroom flat with swimming pool for rent at ikate.annual rent: 2.2mservice charge: 500kcaution: 100kagency: 10%legal:...",2200000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
Office space for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Big and very spacious 3 bedroom flat for office use in lekki phase 1rent :4 millionagency :10%legal : 5%refundable caution : 2...,4000000,3 Bathrooms,,3 Toilets,lekki
1 bedroom mini flat for rent,"Jakande, Lekki, Lagos",Serviced 1-bedroom flat (shared kitchen) with swimming pool @ jakande - lekkirent: *ngn 1m*service charge: 100kpower (24/7): 20k monthlycaution: 50kagency: 100klegal: 1...,1000000,,,,lekki
Self contained (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos","*direct lekki phase 1 letting *a nice self con apartment in a quiet location, spacious bathroom open plan kitchenrent 850ksc 300k bring your genlegal 10%agency ...",850000,,,,lekki
3 bedroom flat / apartment for rent,"Lekki Scheme2, Ajah, Lagos","Agency: n170,000legal: n170,000caution: n150,000rent: n1,700,000total: n2,190,...",1700000,2 Bathrooms,3 Bedrooms,2 Toilets,lekki
2 bedroom flat / apartment for rent,"Lekki Scheme 2, Close To Abraham Adesanya,, Ajah, Lagos","Decent 2 bedrooms apartment for rent in lekki scheme 2, abraham adesanya, ajah, lagos.it's just 4 in a compound with good access road. secure and serene estate.1m rent100k agreement100k agency100k caution feetotal 1,300,000.contact 07034500132 now for inspection prior payment. tarry n...",1000000,2 Bathrooms,2 Bedrooms,3 Toilets,lekki
2 bedroom flat / apartment for rent,"Lekki Palm City, Ajah, Lagos","2 bedroom apartment available. (bungalow)location: ajah. in an estate close tojubilee bridge.all rooms ensuite .rent: 1,250magency: 10%agreement: 10%caution: 100ktotal package: 1...",1250000,,2 Bedrooms,3 Toilets,lekki
2 bedroom flat / apartment for rent,"Lekki Palm City Estate, Ajah, Lagos","2 bedroom apartment available. (upstairs)location: ajah. in an estate close tojubilee bridge.all rooms ensuite .rent: 1,250magency: 10%agreement: 10%caution: 100ktotal package: 1.6monly clients should message. tha...",1250000,,2 Bedrooms,3 Toilets,lekki
1 bedroom flat / apartment for rent,"Lekky County Home Estate, Lekki Phase 2, Lekki, Lagos","Luxury room in a shared apartment now available @lekki county, ikota villa, lekki*room 1(downstairs): 850k**agency, legal, & caution fee: 10% each**services charge: 185k**pay & pack in immediately*inspection fee...",850000,,,,lekki
3 bedroom semi-detached duplex for rent,"Lekki Phase 1, Lekki, Lagos",A 3 bedroom semi-detached duplex with bq (with it's own spacious compound) located in lekki phase 1.suitable for residential or commercial use.rent-n5m per annum or n4.5m per annum for 2years paymentmtinsdng...,5000000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
1 bedroom mini flat for rent,"Lekki Scheme 2, Ajah, Lagos",,900000,2 Bathrooms,,2 Toilets,lekki
3 bedroom flat / apartment for rent,"Lekki Scheme 2 Off Abraham Adesanya, Ajah, Lagos",Luxury and spacious 3bedroom flats for rent in lekki scheme ii off abraham adesanya ajah lagos!rent 1.3milagent 10%legal 10%caution 200ktotal package 1.760...,1300000,3 Bathrooms,3 Bedrooms,4 Toilets,lekki
1 bedroom mini flat for rent,"Agungi, Lekki, Lagos","A mini flat,newly built,a nice, clean, standard apartment,well gated and secured compound, in a secured environment,a well structured and organize, at agungi, lekki, lagos.hurry!1st pay, 1st get...rent:1.3magent:10%legal:10%caution:50ksecurity:60k per annumfor inquiries, inspection and payment,call;(dg)08122254...",1300000,,,2 Toilets,lekki
Self contained (single rooms) for rent,"Agungi, Lekki, Lagos","A room self containednewly built,a nice, clean, standard apartment,well gated and secured compound, in a secured environment,a well structured and organize, at agungi, lekki, lagos.hurry!1st pay, 1st get...rent:800kagent:80klegal:80kcaution:50ksecurity:60k per annumfor inquiries, inspection and payment,call;(srdi)08122254...",800000,,,,lekki
